2S9 Sochor,O_MBT_02_arty_F,A-143 Buzzard (AA),I_Plane_Fighter_03_AA_F
2S9 Sochor GHex,O_T_MBT_02_arty_ghex_F,A-143 Buzzard (CAS),I_Plane_Fighter_03_CAS_F
Assault Boat,O_Boat_Transport_01_F,A-149 Gryphon,I_Plane_Fighter_04_F
Assault Boat,O_G_Boat_Transport_01_F,A-164 Wipeout (CAS),B_Plane_CAS_01_F
Assault Boat,O_T_Boat_Transport_01_F,AH-9 Pawnee,B_Heli_Light_01_armed_F
BTR-K Kamysh,O_APC_Tracked_02_cannon_F,AH-99 Blackfoot,B_Heli_Attack_01_F
BTR-K Kamysh	GHex,O_T_APC_Tracked_02_cannon_ghex_F,AMV-7 Marshall,B_APC_Wheeled_01_cannon_F
Fuel Truck,O_G_Van_01_fuel_F,AMV-7 Marshall,B_T_APC_Wheeled_01_cannon_F
Ifrit,O_MRAP_02_F,AR-2 Darter,I_UAV_01_F
Ifrit GMG,O_MRAP_02_gmg_F,AR-2 Darter,B_UAV_01_F
Ifrit GMG GreenHex,O_T_MRAP_02_gmg_ghex_F,Assault Boat,I_Boat_Transport_01_F
Ifrit GreenHex,O_T_MRAP_02_ghex_F,Assault Boat,I_G_Boat_Transport_01_F
Ifrit HMG,O_MRAP_02_hmg_F,Assault Boat,I_C_Boat_Transport_01_F
Ifrit HMG GreenHex,O_T_MRAP_02_hmg_ghex_F,Assault Boat,B_Boat_Transport_01_F
K40 Ababil-3,O_UAV_02_F,Assault Boat,B_G_Boat_Transport_01_F
K40 Ababil-3 (CAS),O_UAV_02_CAS_F,Assault Boat,B_T_Boat_Transport_01_F
KH-3A Fenghuang,O_T_UAV_04_CAS_F,CH-49 Mohawk,I_Heli_Transport_02_F
MSE-3 Marid,O_APC_Wheeled_02_rcws_F,CH-67 Huron,B_Heli_Transport_03_F
MSE-3 Marid GHex,O_T_APC_Wheeled_02_rcws_ghex_F,CH-67 Huron (Black),B_Heli_Transport_03_black_F
"Mi-280 Taru (Ammo, Black)",O_Heli_Transport_04_ammo_black_F,CH-67 Huron (Unarmed),B_Heli_Transport_03_unarmed_F
"Mi-280 Taru (Bench, Black)",O_Heli_Transport_04_bench_black_F,CH-67 Huron Unarmed (Green),B_Heli_Transport_03_unarmed_green_F
Mi-280 Taru (Black),O_Heli_Transport_04_black_F,CRV-6e Bobcat,B_APC_Tracked_01_CRV_F
"Mi-280 Taru (Cargo, Black)",O_Heli_Transport_04_box_black_F,CRV-6e Bobcat,B_T_APC_Tracked_01_CRV_F
"Mi-280 Taru (Fuel, Black)",O_Heli_Transport_04_fuel_black_F,Caesar BTT,I_C_Plane_Civil_01_F
"Mi-280 Taru (Medical, Black)",O_Heli_Transport_04_medevac_black_F,F/A-181 Black Wasp II,B_Plane_Fighter_01_F
"Mi-280 Taru (Repair, Black)",O_Heli_Transport_04_repair_black_F,F/A-181 Black Wasp II(Stealth),B_Plane_Fighter_01_Stealth_F
"Mi-280 Taru (Transport, Black)",O_Heli_Transport_04_covered_black_F,FV-720 Mora,I_APC_tracked_03_cannon_F
Mi-290 Taru,O_Heli_Transport_04_F,Fuel Truck,I_G_Van_01_fuel_F
Mi-290 Taru (Ammo),O_Heli_Transport_04_ammo_F,Fuel Truck,B_G_Van_01_fuel_F
Mi-290 Taru (Bench),O_Heli_Transport_04_bench_F,HEMTT,B_Truck_01_mover_F
Mi-290 Taru (Box),O_Heli_Transport_04_box_F,HEMTT,B_T_Truck_01_mover_F
Mi-290 Taru (Covered),O_Heli_Transport_04_covered_F,HEMTT Ammo,B_Truck_01_ammo_F
Mi-290 Taru (Fuel),O_Heli_Transport_04_fuel_F,HEMTT Ammo,B_T_Truck_01_ammo_F
Mi-290 Taru (Medical),O_Heli_Transport_04_medevac_F,HEMTT Box,B_Truck_01_box_F
Mi-290 Taru (Repair),O_Heli_Transport_04_repair_F,HEMTT Box,B_T_Truck_01_box_F
Mi-48 Kajman,O_Heli_Attack_02_F,HEMTT Fuel,B_Truck_01_fuel_F
Mi-48 Kajman (Black),O_Heli_Attack_02_black_F,HEMTT Fuel,B_T_Truck_01_fuel_F
Mk30 HMG .50,O_HMG_01_F,HEMTT Medical,B_Truck_01_medical_F
Mk30 HMG .50 (Raised),O_HMG_01_high_F,HEMTT Medical,B_T_Truck_01_medical_F
Mk30A HMG .50,O_HMG_01_A_F,HEMTT Repair,B_Truck_01_Repair_F
Mk32 GMG 20 mm,O_GMG_01_F,HEMTT Repair,B_T_Truck_01_Repair_F
Mk32 GMG 20 mm (Raised),O_GMG_01_high_F,HEMTT Transport,B_Truck_01_transport_F
Mk32A GMG 20 mm,O_GMG_01_A_F,HEMTT Transport,B_T_Truck_01_transport_F
Mk6 Mortar,O_Mortar_01_F,HEMTT Transport (Covered),B_Truck_01_covered_F
Mk6 Mortar,O_G_Mortar_01_F,HEMTT Transport (Covered),B_T_Truck_01_covered_F
NAME,CLASSNAME,Hunter,B_MRAP_01_F
Offroad (Armed) GHex,O_G_Offroad_01_armed_F,Hunter,B_T_MRAP_01_F
Offroad (Repair),O_G_Offroad_01_repair_F,Hunter GMG,B_MRAP_01_gmg_F
Offroad GHex,O_G_Offroad_01_F,Hunter GMG,B_T_MRAP_01_gmg_F
PO-30 Orca,O_Heli_Light_02_F,Hunter HMG,B_MRAP_01_hmg_F
PO-30 Orca (Black & White),O_Heli_Light_02_v2_F,Hunter HMG,B_T_MRAP_01_hmg_F
PO-30 Orca (Unarmed),O_Heli_Light_02_unarmed_F,IFV-6a Cheetah,B_APC_Tracked_01_AA_F
Qilin (Armed),O_T_LSV_02_armed_F,IFV-6a Cheetah	AA,B_T_APC_Tracked_01_AA_F
Qilin (Armed),O_LSV_02_armed_F,IFV-6c Panther,B_APC_Tracked_01_rcws_F
